seed,type,N,T,b₀ᵢ,β,ρ,σₐ,σᵤ,iterations,LL,V_norm_finalstep,V_norm_true,V
8,Sample,2,50,,,,0.2593884042689234,18.531146188706717,,,,,
8,Estimated,2,50,"[-4.109198515276827, -0.11106963436561745]","[1.0019695517984621, 0.10034198384279407]",0.4616605217367274,0.010000000000000002,0.9324440839006118,10,-45.47471760899005,1.99167197032482e-8,92.82963284686697,
9,True,2,50,"[-2.627578050175094, 0.2635232095248958]","[1.0, 0.1]",0.85,0.1,1,,-Inf,,,
9,Sample,2,50,,,,0.2673733396782172,17.832115469077355,,,,,
9,Estimated,2,50,"[-2.173127955255257, 0.9285846243475775]","[0.8856831792256739, 0.10248208787714339]",0.7571855072171237,0.010000000000000002,0.8551563233540505,10,-43.79657168498501,2.110140457914468e-8,69.34288178438167,
10,True,2,50,"[3.4105665015215996, -0.5408033548378681]","[1.0, 0.1]",0.85,0.1,1,,-Inf,,,
10,Sample,2,50,,,,0.1834765711805516,17.720508986134455,,,,,
10,Estimated,2,50,"[3.8789587607825387, -0.32430886612914955]","[1.0518625519312335, 0.0985557474281485]",0.720053910283455,0.010000000000000002,0.8746700820071547,10,-44.90891902766364,9.731667186541378e-6,75.58508405211371,
1,True,2,50,"[-0.7058313895389791, 5.314767537831963]","[1.0, 0.1]",0.85,1.0,1,,-Inf,,,
1,Sample,2,50,,,,24.721910531824914,25.403635681799777,,,,,
1,Estimated,2,50,"[-1.2001751661263202, 4.826146911337106]","[1.1683547078150986, 0.09616305724044528]",0.6912534298478031,0.5683444949155084,1.1813579478192922,8,-81.59146515994706,0.0,171.68023024097874,
2,True,2,50,"[-0.05737244600260246, 17.35376213870901]","[1.0, 0.1]",0.85,1.0,1,,-Inf,,,
2,Sample,2,50,,,,22.22371032820476,22.566871440213898,,,,,
2,Estimated,2,50,"[-1.4063045359369448, 15.736694985857726]","[1.144952236542836, 0.09961289511185684]",0.8130165521789592,0.5028314495673417,1.0793208196144948,8,-75.14374030360221,0.0,120.15140892816746,
3,True,2,50,"[-6.637635515551271, 13.632084599735597]","[1.0, 0.1]",0.85,1.0,1,,-Inf,,,
3,Sample,2,50,,,,21.219597993757183,22.6072949567704,,,,,
3,Estimated,2,50,"[-7.268146790063653, 13.103437348152312]","[1.1071427626163646, 0.09887673676560878]",0.8107258009756181,0.6438968165594217,1.0308952762482997,10,-74.54311257649184,0.0,115.03369542008076,
4,True,2,50,"[17.07371258640649, 20.015123867881837]","[1.0, 0.1]",0.85,1.0,1,,-Inf,,,
4,Sample,2,50,,,,32.63798244492519,21.856781672988525,,,,,
4,Estimated,2,50,"[15.224077911400896, 18.065826176765956]","[1.2292630449090076, 0.096581974344258]",0.7228188991389287,1.0102653653055609,0.8997595838464895,7,-73.82534224647378,0.0,146.99525567829383,
5,True,2,50,"[0.17205046232868315, 12.623658511338068]","[1.0, 0.1]",0.85,1.0,1,,-Inf,,,
5,Sample,2,50,,,,17.6875673643079,20.54236070230102,,,,,
5,Estimated,2,50,"[0.5163202016218897, 12.95641583743045]","[0.8782844055975981, 0.1022426259581106]",0.7999924823484735,0.6957339172613188,0.9490889431772358,10,-69.045331769879,0.00012043759830480902,128.7442721065775,
6,True,2,50,"[-19.757885774187898, -0.9383409762557428]","[1.0, 0.1]",0.85,1.0,1,,-Inf,,,
6,Sample,2,50,,,,21.51128246264581,20.431766648817117,,,,,
6,Estimated,2,50,"[-18.457590403571555, 0.3296907406318361]","[0.9348075981142069, 0.10136865100171241]",0.5274375416806278,0.8156195166421695,1.0141631388478356,8,-73.87236816504536,0.0,197.22093980115199,
7,True,2,50,"[-4.367936713637636, 19.856224858441557]","[1.0, 0.1]",0.85,1.0,1,,-Inf,,,
7,Sample,2,50,,,,25.711453427038876,20.11942165667994,,,,,
